S. No.,State/UT,GA,RF,PF,UF,Total
1,Andhra Pradesh,162968,31959,5069,230,37258
2,Arunachal Pradesh,83743,12371,11857,27312,51540
3,Assam,78438,17864,0,8972,26836
4,Bihar,94163,693,6183,566,7442
5,Chhattisgarh,135192,25897,24036,9883,59816
6,Delhi,1483,78,25,0,103
7,Goa,3702,119,755,397,1271
8,Gujarat,196244,14574,2898,4398,21870
9,Haryana,44212,249,1158,152,1559
10,Himachal Pradesh,55673,1883,28887,7178,37948
11,Jharkhand,79716,4500,18922,1696,25118
12,Karnataka,191791,28690,3931,5663,38284
13,Kerala,38852,11522,0,0,11522
14,Madhya Pradesh,308252,61886,31098,1705,94689
15,Maharashtra,307713,50865,6433,4654,61952
16,Manipur,22327,984,3254,13180,17418
17,Meghalaya,22429,1113,12,8371,9496
18,Mizoram,21081,4499,1823,1157,7479
19,Nagaland,16579,234,0,8389,8623
20,Odisha,155707,36049,25133,22,61204
21,Punjab,50362,44,1137,1903,3084
22,Rajasthan,342239,12176,18543,2144,32863
23,Sikkim,7096,5452,389,0,5841
24,Tamil Nadu,130060,20523,1053,1612,23188
25,Telangana,112077,25800,1592,296,27688
26,Tripura,10486,3588,2,2704,6294
27,Uttar Pradesh,240928,11560,296,5528,17384
28,Uttarakhand,53483,26547,9885,1568,38000
29,West Bengal,88752,7054,3772,1053,11879
30,Andaman and Nicobar Islands,8249,5613,1558,0,7171
31,Chandigarh,114,32,0,3,35
32,Dadra and Nagar Haveli and Daman and Diu,602,203,5,6,214
33,Jammu & Kashmir,222236,17648,2551,0,20199
34,"Ladakh, Shape file Area (168055)",NA,7,0,0,7
35,Lakshadweep,30,0,0,0,0
36,Puducherry,490,0,2,11,13
